Event	ID	Name			Wwise Object Path	Notes
	384398350	Missed			\Default Work Unit\Missed	
	460275487	AmbianceOutdoor			\Default Work Unit\AmbianceOutdoor	
	1307892918	Close_Door			\Default Work Unit\Close_Door	
	1998986239	No_Love			\Default Work Unit\No_Love	
	2661483290	Creature			\Default Work Unit\Creature	
	2862271631	Second_Creature			\Default Work Unit\Second_Creature	
	2956814642	Fades			\Default Work Unit\Fades	
	2981377429	Ambiance			\Default Work Unit\Ambiance	
	3582559134	Cry_Scared			\Default Work Unit\Cry_Scared	
	3785525642	Reach			\Default Work Unit\Reach	
	3991942870	Music			\Default Work Unit\Music	

Effect plug-ins	ID	Name	Type				Notes
	231810940	Wwise Gain (Custom)	Wwise Gain			
	244210262	Extreme_Limiting_2 (Custom)	Wwise Peak Limiter			
	484890516	Church_Small_Wood	Wwise RoomVerb			
	1252796875	Light_Expander	Wwise Expander			
	1674078407	Chorus_Like	Wwise Flanger			
	2662085913	Large_Church1	Wwise Matrix Reverb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9616639	Snif_06	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Snif_06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Cry_Scared\Sniffs\Snif_06		65680
	15182467	Creature_MonsterBed_02	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_MonsterBed_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Second_Creature\Smoky\Creature_voice\Creature_MonsterBed_02		610480
	16242666	Creature_Reach_01	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_Reach_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Reach\Creature_Reach_01		417492
	62803233	Scared_05	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Scared_05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Cry_Scared\Scared\Scared_05		809868
	84994669	Creature_Footsteps_06	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_Footsteps_06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Amb_Select\Creature\FootSteps\Creature_Footsteps_06		576892
	90728367	Creature_Smoke_2_01	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_Smoke_2_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Amb_Select\Creature\Smoke\Creature_Smoke_2_01		1527064
	93505576	Scared_01	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Scared_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Cry_Scared\Scared\Scared_01		775816
	94627945	Missed_02	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Missed_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Missed\Missed_02		672372
	104257092	Creature_MonsterBed_04	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_MonsterBed_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Second_Creature\Smoky\Creature_voice\Creature_MonsterBed_04		1182336
	112459159	Scared_06	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Scared_06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Cry_Scared\Scared\Scared_06		353416
	119532348	Creature_Footsteps_05	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Creature_Footsteps_05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Amb_Select\Creature\FootSteps\Creature_Footsteps_05		1234964
	135510241	Hug_Me_06	Y:\Downloads\Ruper-Friends2\RupertsFriends\TeddyBearVR_Maxime_WwiseProject\.cache\Windows\SFX\Hug_Me_06_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teddy\Cry_Scared\Hug\Hug_Me_06		460636
